,description
0,"Features:1. New and high quality. 2. An extensive range of 15 multiple vibrant concealer colour with different skin tones to create amazing looks. 3. Provide total camouflage for almost any skin problem including blemishes, scars, birthmarks and black circles. 4. It is also suitable to use as bronzer. 5. The medium colour is perfect for dark shadows in the under-eye area. 6. Silky glossy colour and high quality ingredients together to care skin around and can last for all day long. 7. It is perfect for professional salon, wedding, party and home use.Specifications: 1. Dimensions: (6.14 x 4.13 x 0.47)"" / (15.6 x 10.5 x 1.2)cm (L x W x H) 2. Each Diameter: 2.6cm 3. Case Color: Black 4. Concealer: 15 Color Concealer. Package Includes:1 x Professional 15 Concealer Camouflage Makeup Palette

"
1,"Xtreme Brite Brightening Gel is highly concentrated gel helps to obtain a clearer and brighter complexion. Removes blackheads and cosmetic acne also has anti-bacterial and soothing properties. For best results use regularly together with other products from the Xtreme Brite brand.

"
2,"Buy Prada Perfumes - Prada Candy by Prada for Women 1.7 oz Eau de Parfum Spray

"
3,"Launched by the design house of Gianni Versace. When applying any fragrance please consider that there are several factors which can affect the natural smell of your skin and, in turn, the way a scent smells on you.  For instance, your mood, stress level, age, body chemistry, diet, and current medications may all alter the scents you wear.  Similarly, factor such as dry or oily skin can even affect the amount of time a fragrance will last after being applied

"
4,
5,
6,"Qality designed two chamber that utilizes a 'patented pump technology' and comes with a lifetime warranty. Perfect for the kitchen, vanity, shower, laundry, garage, pool, office, restaurant, etc. The liquid is stored in a two 14 oz. refillable chambers. With one or two strokes of the pump, just the right amount of shampoo, conditioner or liquid soap is dispensed. Classic Dispenser allows you to buy your favorite liquids in bulk to save money and reduce plastic consumption, which in turn will reduce the impact of all those empty plastic bottles in our landfill sites. Installs in minutes without tools using silicone and two way tape (included).

"
7,"The versatile CLEAR CHOICE Dispensers can be used anywhere around the home; in the shower, at a vanity, in the kitchen or even laundry room; the choices are endless! The translucent containers allow you to clearly see which liquids are inside and how much is left. Mount the CLEAR CHOICE 3 neatly in a corner, perfect for the shower! In 1991, Better Living Products began manufacturing and marketing the world's finest assortment in bathroom organization products. With distribution to more than seventy countries and through leading retailers everywhere, Better Living products are available virtually anywhere around the world. With world-leading product designs and superior customer service, Better Living has won a succession of awards throughout North America and beyond!

"
8,
9,"After a long day of handling thorny situations, our new hand therapy pump is just the help you need. It contains shea butter as well as extracts of yarrow, clover and calendula to help soothe and condition work-roughened hands.

By Crabtree & Evelyn

"
10,"Conair Instant Heat Curling Iron, 1-inch Curling Iron , Black

Welcome to the world of advanced styling, where curling irons heat up in less than a minute, where you can choose between 25 different temperature settings for any hair type, and where, if left unattended, your curling iron automatically turns off. Conair's 1-inch curling iron is ideal for creating those medium-to-large bouncing curls. Featuring dual voltage settings, the iron allows you to select either standard North American 125-volt or 250-volt foreign electricity operation, so you can use your curler when you're traveling abroad. Its sure-grip handle has a patented design for greater control and precision, and the electronic on/off touch pad is easy to use. If you forget to turn off the curler (too busy fending off your admirers, we assume), it will automatically shut itself off. With that 60-second heat-up time and a flashing indicator light that lets you know when you can start styling, you'll have playful curls to impress within minutes. And with a two-year limited warranty, you'll be curling for years to come. --Ariel Meadow Stallings



"
11,"Our dual-purpose mechanical eyebrow pencil and eyeliner delivers waterproof long-lasting wear. Blendable color evenly fills in eyebrows and defines eyes. Ophthalmologist-tested. Safe for sensitive eyes and contact lens wearers. Packaging may vary, what you receive may not be what is reflected on site. • Defining brow filler and precision eyeliner • Mechanical format • Crayon formula lasts all day • Available in 2 shades To define your eyes: apply with smooth strokes along your lash line. To fill in your brows: start at inner corner and work outward using light, feathery strokes. Blend evenly.

"
12,"Completely conceals blemishes, dark circles and other imperfections. Waterproof formula lasts for hours. Glides on smoothly and blends in perfectly for natural coverage. Hypoallergenic. Won't clog pores, dermatologist tested. Match your skin tone or choose from color corrective shades: yellow corrects dark circles, green corrects redness.

By Maybelline

"
13,"This waterproof mascara remover easily cleanses away even the most stubborn makeup. • Gently washes away waterproof mascara and eye makeup • Moisturizing formula • Gentle mascara remover • Fragrance-free Step 1. Slightly moisten a cotton ball or tissue with makeup remover. Step 2. Lightly press cotton ball or tissue against closed eyelids for several seconds. Step 3. Gently wipe residue off. Step 4. Rinse eye area with water. Step 5. Wait five seconds, then wipe area with tissue.

"
14,"Waterproof liquid liner delivers all-day wear. No skipping, no smearing. Precision brush for perfect application.

By Maybelline

"
15,"Chlorophyllin Copper Complex 100g Dietary Supplement. Nullo Reduces the odors from the human body naturally. Customers have found Nullo to be effective when taken daily, to reduce odors related to fecal and urinary incontinence, bad breath, perspiration odors such as foot odor, underarm odors, as well as masculine and feminine hygiene (These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure of prevent any disease).

"
16,"This vaginal crème works on contact to relieve everyday itch fast.
Relieves painful burning and itching in vaginal areas.
The only vaginal itch crème with LactoPrebiotic.

"
17,"Soft, sensuous skin is just waiting to be uncovered on your feet, hands and other dry problem areas. Without abrasives or harsh chemicals, Pretty Feet & Hands Rough Skin Remover gently exfoliates cast-off skin cells to reveal smooth, new skin. Your skin's condition improves with each use of Pretty Feet & Hands Rough Skin Remover.

"
18,"

Recommended by Dermatologists

DHS™ Clear contains a unique blend of special cleansing and conditioning agents that can be used daily on all types of hair.  It provides a luxurious lather which gently cleanses the hair and scalp.  It is completely free of fragrance and color, and does not contain ingredients which could be irritating to the scalp.  It is especially formulated for pH balance.



"
19,"Get lasting relief from even the most persistent itching with Neutrogena T/Gel Therapeutic Anti-Dandruff and Anti-Itch Shampoo. Safe for daily use, this Stubborn Itch Control formula starts working after just one use and helps control scalp itching and flaking caused by scalp psoriasis, seborrheic dermatitis, and even common dandruff. Scientific tests prove that the active ingredient in T/Gel Therapeutic Shampoo Stubborn Itch continues to work for hours even after the shampoo is rinsed off. The rich lather contains Neutar Technology with 2% coal tar along with menthol to help soothe and cool the scalp. From a dermatologist-recommended brand, this therapeutic anti-itch medicated shampoo helps maintain a healthy scalp and leaves hair clean and manageable.

"
20,"This effective formula contains salicylic acid, a clinically proven, active ingredient that breaks down crusty, flaky scalp build-up and should be used as the first step in any scalp treatment. It’s clear conditioning formula is free of added color, preservatives, and fragrance. T/Sal therapeutic scalp build-up control shampoo ensures maximum relief of itchy, flaky scalp.

By Neutrogena

"
21,"

DHS Conditioning Rinse is specially formulated for dermatological hair care.
DHS Conditioning Rinse helps control static electricity, eliminate tangles, mend split ends and improve elasticity.
DHS Conditioning Rinse helps make hair easier to comb and manage while adding luster and body.



"
22,"Restores moisture and dramatically revitalizes hair. 2 Weekly treatments. 5-Vitamin enriched formula. Leaves hair looking strong, healthy and vitally alive. Restores moisture to stressed, dry or damaged hair. Seeks out and re-constructs damaged hair by bonding to the weak site of every strand. Dramatic results in just one minute. Exclusive formula with hair strengthening complex doubles the strength of hair; protecting it from breakage. (One treatment of VO5 Hot Oil and shampooing versus shampooing alone). Made in USA.

"
23,
24,"Electric razor pre-shave for an ultra smooth shave.

"
25,"Treat your back, shoulders, neck, arms and legs to a Buf-Puf Body Sponge. It will leave your skin perfectly prepped to absorb nourishing moisturizers. And smooth skin makes it easier to apply self-tanners more evenly.

"
