,description
0,"The Pocket Magnifier is so popular, we are having a hard time keeping it on our shelves! Slide open to activiate the powerful LED light. The square lens provides strong 3X magnification perfect for menus, instruction manuals, maps and more! This deluxe lighted magnifier is a favorite gift for all readers. Featured on the ""O List"" of favorite things in the August 2008 issue of Oprah magazine.

"
1,"Don’t miss a single word with the Rigid Page Magnifier. This sturdy acrylic fresnel lens is ideal for oversized materials, such as cookbooks, magazines and newspapers.

"
2,"Compact lighted magnifier for home, library, business, recreation, crafts or travel.

"
3,
4,
5,"Keep your family fully powered every day with our best performing, long-lasting Energizer Recharge Power Plus batteries. Pre-charged and ready to go when they arrive on your doorstep, these rechargeable batteries help you save money and create less waste over time, reducing environmental impact. Each Energizer Recharge Power Plus AA battery can be charged and used up to 500 times. Don’t feel like using your charged-up batteries right away? The charge lasts up to one year in storage. Simply pair up with any Energizer Recharge Charger to power up your most essential devices like digital cameras, handheld GPS, and wireless gaming systems and keep the power going.

By

"
6,
7,"Standard Battery Type Standard Battery, Standard Battery Size AAA, Battery Chemistry Alkaline, Voltage 1. 5, Standard Battery Series Copper Top, Package Quantity 4

"
8,"Duracell CopperTop all-purpose alkaline batteries are not only dependable, they’re also long-lasting. You can take comfort in a 10-year guarantee (5-year guarantee for 9V) in storage. They’re great for many of the devices you use on a daily basis. And from storm season to medical needs to the holidays, Duracell is the #1 trusted battery brand so you know it’s a battery you can trust.

Duracell is known for their ""CopperTop"" batteries. The 1.5V AA battery size is required for many electronic toys, players, pagers, remote controls, etc. Using alkaline batteries like these will provide more product life than rechargeable batteries, although they are usable only once. This package comes with four batteries.

What's in the Box
One package of four AA batteries.

"
9,"Duracell CopperTop all-purpose alkaline batteries are not only dependable, they’re also long-lasting. You can take comfort in a 10-year guarantee (5-year guarantee for 9V) in storage. They’re great for many of the devices you use on a daily basis. And from storm season to medical needs to the holidays, Duracell is the #1 trusted battery brand so you know it’s a battery you can trust.

By Duracell

"
10,"This AA flashlight with holster Pack carries on your hip and comes from trusted MagLite—another another super-duty beam that's built tough. It has standard rugged machined aluminum construction, with shock and water resistance for long life. It’s anodized inside and out, too, for increased resistance to corrosion. Plus, the spot-to-flood light adjustability allows you to choose how you want to focus the light. There's a spare lamp included as well, safely packed underneath the tail cap. It comes equipped with a rugged nylon holster that's weather-resistant and easy to attach, and accepts up to a 2 3/4-inch-wide belt. The flashlight measures 5 3/4-by-23/32-inches (length by width) and weighs just under 4 ounces. It runs on two ""AA"" batteries (which are included).

With its high-intensity adjustable light beam and compact size, the Mini Maglite Two-Cell AA Flashlight and Holster Combo Pack offers limitless around-the-house and on-the-go options. This slender flashlight succeeds where flimsy plastic flashlights fail, providing a steady, fast-focus stream of light wherever and whenever you need it. For easy portability, the flashlight comes with a nylon holster with belt loop.



With an overall length of only 5.75 inches and a weight of just 3.8 ounces (with included batteries), the Mini Maglite is easy to handle and hold, even when working in tight spaces.

Its small size and included holster also makes it ultra-portable and perfect for emergency storage, hiking, camping, and thousands of other uses, so you're never caught without a flashlight when you need one.

Three Light Modes for Versatility
The Mini Maglite boasts a unique candle mode that allows you to remove the head and expose the bulb to shed light in all directions, just like a candle. You can flip the head over and place it on a solid surface to create a sturdy holder for the ""candle""--a great option when you're camping, at an outdoor concert, or entertaining after dark in your backyard.

This handy flashlight also has spot and flood modes--simply rotate the head half a turn to choose the light intensity you need.

Durably Constructed for a Lifetime of Use
The Mini Maglite features solid, precision-machined, high-strength aluminum construction that resists wear and tear, even after years of use. Anodized inside and out for corrosion resistance, this flashlight has rubber O-rings for water and shock resistance.

For further durability, a patented vented tail cap reduces the chance of gas buildup. The tail cap also stores a spare lamp, so you'll always have light when you need it.

The Mini Maglite is backed by a limited lifetime warranty.

Maglite: An Icon of American Ingenuity
Prior to the introduction of the Maglite flashlight in 1979, flashlights were generally regarded as unreliable, throw-away items. That all changed when Anthony Maglica revolutionized the portable lighting industry with his unique technology. By combining superior design with reliability, durability, and an unprecedented lifetime warranty, Maglite produces reliable, iconic flashlights that are designed exclusively in the USA and are built by American workers.

What's in the Box
Mini Maglite, two 'AA' premium-cell alkaline batteries, and holster.







"
