,description
0,
1,"This newly-designed Laser tail light can emit two parallel lines, to form a virtual lane together with the moving of bicycle on the road. LED flash light and two lines not only enhance the waring effect strongly and greatly but also improve the safety of night riding.

"
2,"Black Mountain Products single resistance bands are made out of the highest quality rubber to ensure maximum life and are 99 percent latex free! These bands are ideal for physical therapy, exercise, weight loss, Pilates, muscle toning, muscle strengthening, stretching, rehabilitation, and general health and fitness. B.M.P. resistance bands are great for home use, gym use, offices, and are ideal for travel. B.M.P. single resistance bands are a great alternative to conventional weights and exercise equipment. All Black Mountain Products Resistance bands come with a manufactures warranty.

"
3,"Black Mountain Products (B.M.P.) resistance bands are made from the highest quality rubber to ensure maximum life. This set of resistance bands includes five stackable resistance bands, two handles, door anchor, carrying bag, and exercise manual. This set of exercise bands optimizes the advantage of using any single or multiple (1-5) bands at once to achieve multiple levels of resistance. B.M.P.'s stackable set of exercise bands allow for a much wider range of resistance, (4lbs to 75lbs) then traditional resistance bands sets. Any combination of bands may be used at one time, without the hassles of having multiple handles on each band. This increase in range and ease of use makes this set perfect for anyone from beginners and experts. Stackable bands allow you to achieve the highest levels of resistance possible.

"
4,"From duck sloughs to deer blinds, cornfields to the high country, Outers has taken care of the American hunter no matter where they roam. Outers offers quality gun care products that maximize shooting adventures. This is more than just a stale corporate mission statement-it's our heritage, our commitment and the guiding principle of our company.

"
5,"Power Hooks (Pair) at Power Systems, Inc.

"
6,"Pacific Play Tents Playchute 10-foot Parachute features 12 separate handles spaced evenly around for cooperative group play. Ideal for developing perceptual, cognitive, motor and academic skills. Great for birthday parties, or family gatherings. High quality, durable 190T polyester taffeta fabric with reinforced handles. Includes storage sack.

The parachute gambit is a teacher's secret weapon--a tried-and-true way to annihilate the afternoon blahs. At approximately 9 feet in diameter, with handles all the way around for little (or big) hands to grab, this sunny Playchute Parachute is just smaller than the classroom standard. Fling it into the air and watch it drift down. Run underneath it and watch the colors rain down. Throw a few stuffed animals in the center and bounce them around. Simple, satisfying thrills, and worth every penny. --Claire Dederer

"
7,"The Pacific Play Tents Find Me Tunnel is 6-foot long X 19-inches diameter. This vibrantly blue tunnel features interior padding around a hardened spring-steel structure for added comfort. Ideal for building motor skills and core muscle strength. The half mesh top allows for ventilation and easy viewing for supervision. Durable 190T polyester taffeta fabric. Collapses flat for easy storage.

Children love places to play where parents can't follow them. This 6-foot tunnel fills that desire perfectly, and lasts as long as it needs to. The 19-inch diameter tunnel is constructed of spring steel with a 70 denier nylon cover and will attach to the front or side windows of any Pacific Play Tent. Collapses into a compact and easy-to-store hoop with self-ties. All nylon meets CPAI-84 flame retardant standards and is washable. --S.J. Kurtz



"
8,"The Club Champ Putt N' Hazard is designed to help improve your putting game. The Putt 'N Hazard is ideal for fun or for serious practice. Your putt is returned automatically each time, even if it lands in one of the realistic hazards. There are no batteries required. This large surface putting green is 9' x 16"".





"
9,"No tool belt should be without its very own Victorinox Swiss Army SwissTool. The SwissTool was designed for ease of use, but doesn't compromise on durability or functionality. Individual springs hold the tools in place so you can easily access each one individually from the outside of the handle. The lock and release system is designed to lock each tool in place when opened, and release to fold away with a simple slide of the release button.
The SwissTool is truly a handyperson's helper with a multitude of implements and available accessories; it's at your service when it's at your side. From lightweight design to its outside opening implements, there's not much the SwissTool can't do. Like all Swiss Army Knives, the SwissTool has a lifetime warranty, stainless steel implements and Swiss-made quality and durability. Includes 27 Functions:

Pliers
Screwdriver (2mm)
Screwdriver (3mm)
Wire Cutter (for wire up to 40 hrc)
Screwdriver (5mm)
Bottle Opener
Screwdriver (7.5mm)
Large Blade
Serrated Blade
Metal File
Metal Saw
Wood Saw
Reamer
Phillips Screwdriver
Chisel/Scraper
Strong Crate Opener
Wire Bender
Wire Stripper
Wire Scraper
Wire Crimper
Can opener
Ruler (230mm)
Ruler (9in)
Hard Wire Cutter
Lanyard Hole
Easy Kickback Springs
Lock Release

In 1884, Master Cutler Karl Elsener opened a cutlery shop in Ibach, Switzerland. There, he and the cutlers’ union he formed produced the finest steel cutlery, finished with the now-famous proprietary edge preferred globally by professional and home cooks. In 1891, Karl supplied the Swiss Army with its standard issue Soldier’s Knife and in 1897 with the Officer’s Knife. In 1921, after the death of his mother, Victoria, and with the advent of stainless steel, then known as “inoxydable"" and used in the production of his cutlery, Karl changed the name of the company to Victorinox. It is from those humble beginnings that a worldwide icon was born.Today, Victorinox is still owned and operated by the Elsener family, and both the company and family still resides in the small village of Ibach, Switzerland. Care Tips for Swiss Army KnivesThe various tools are manufactured from high-quality steel with precisely tuned features that are essential for the particular application. The steel is tempered, annealed and polished to achieve the necessary hardness and provide optimum resistance to corrosion.SharpeningTo re-sharpen your knife, use a whetstone at an angle of 15°– 20°. This will result in a cutting angle of 30°– 40°. If sharpening on a grinding wheel, always cool with plenty of water to avoid excessive temperatures and the resulting damages that may occur.CleaningAfter you’ve used your Swiss Army Knife for all of its various applications, such as cutting open numerous boxes, you may notice that the blades begin to stick together. Opening and closing the blades in warm water several times will allow the tools to easily move again. Once they have dried, it is recommended, to apply a small drop of oil between the blade or tool shank and the spring. To optimally maintain the locking mechanism, periodically apply a drop of our recommended Swiss Army Knife Oil. Never put Swiss Army Knives in the dishwasher.

From the renowned company that created the Swiss Army knife a century ago comes this folding tool kit--neatly contained within a single implement that measures just 4-1/2 inches long and 1-1/3 inches thick, weighs just 10 ounces, and comes in a polyester/nylon belt pouch. Its rugged stainless-steel construction and ease of use make this tool kit is a tribute to the precision of Swiss engineering. Tools open individually (no clumping), lock in place, and fold with a push button. The SwissTool carries a lifetime warranty against defects. The tools include pliers; 2-, 3-, 5-, and 7-1/2-mm screwdrivers; Phillips head screwdriver; wire cutter; bottle opener; large knife blade; serrated blade; metal file; metal saw; wood saw; reamer/punch; chisel/scraper; crate opener; wire bender; wire stripper; wire scraper; can opener; 9-inch ruler; 230-cm ruler; electrical crimper; and lanyard hole. --Fred Brack



"
